ref_chr	mean_diff	max_diff	total_lengths	prop_diff	num_query_chr
OW569341.1	2882253.3333333335	23.657157102876223	18275146.0	15.771438068584152	3.0
OW569332.1	725217.0	4.930211958730679	22226874.0	3.262793499436763	4.0
OW569324.1	511534.5	3.540159712616131	26669277.0	1.91806662025371	4.0
OW569321.1	1694144.8	9.506794861043579	31910292.0	5.309085858568766	5.0
OW569337.1	1013324.0	8.225400117992287	18479174.0	5.483600078661524	3.0
OW569329.1	921413.6666666666	7.350443929835499	22816894.0	4.038295776220316	4.0
OW569325.1	1445457.5	10.270875677208247	26241005.0	5.5083923043343805	4.0
OW569340.1	1702673.3333333333	14.94029171478077	17094780.0	9.960194476520511	3.0
OW569328.1	1238845.5	10.109582041733985	23301537.0	5.316582764476008	4.0
OW569339.1	714664.6666666666	5.811875777313453	18444940.0	3.8745838515423014	3.0
OW569326.1	126469.5	1.0177906659829494	23185023.0	0.5454792949741737	4.0
OW569322.1	2087404.6666666667	14.07023236637211	26907594.0	7.757678619153636	4.0
OW569334.1	555315.8333333334	5.141224326068206	19454899.0	2.8543753084163193	4.0
OW569323.1	1375012.6	11.795318756924807	27149669.0	5.064564875542313	5.0
OW569333.1	630969.6666666666	6.067033350669068	19770338.0	3.191496608033037	4.0
OW569338.1	2360886.0	19.00099159757739	18637601.0	12.667327731718261	3.0
OW569336.1	2636885.3333333335	20.28996703551332	19494009.0	13.526644690342216	3.0
OW569330.1	549764.0	3.9770288515756853	20735228.0	2.6513525677171237	3.0
OW569327.1	475372.1666666667	3.5864628084542707	24662043.0	1.9275457700996899	4.0
OW569335.1	658289.5	5.783697027505273	18782035.0	3.5048891134533613	4.0
OW569331.1	630004.5	5.723889130423889	21752081.0	2.896295301585168	4.0
OW569342.1	33454.0	0.26099919610936906	12817664.0	0.26099919610936906	2.0
